Method and Subset; Avg. Precision; Median Precision; Avg. Recall; Median Recall; Avg. SDE; Median SDE; Avg. BB-IOU; Median BB-IOU; Avg. IOU-20; Median IOU-20; Avg. IOU-15; Median IOU-15; Avg. IOU-10; Median IOU-10; Avg. IOU-5; Median IOU-5; Avg. IOU-0; Median IOU-0
Ori 3D Skel Strict 15;1199,770772;229,0025637;139,1935325;24,90654686;666,0487119;170,171838;0,211666291;0,138430058;0,164942443;0,16860389;0,142689461;0,132879552;0,11019066;0,084215883;0,065721817;0,036081119;0,004560022;0,001076428
avg;588,8487207;188,3148151;133,2898863;19,97021778;357,5076861;140,709963;0,251596649;0,205374916;0,201576665;0,210016613;0,17854518;0,178650833;0,138952955;0,126730955;0,078627959;0,058791523;0,005580017;0,0021121
Ori Non Strict 1;110,6314952;51,1905156;382,1965762;107,3064332;236,9865202;108,9343608;0,322401479;0,313304983;0,213828773;0,227971074;0,183356471;0,187567508;0,136892851;0,134577075;0,072401787;0,063721898;0,004580399;0,00250721
Ori Non Strict 2;53,38814696;30,11575677;593,9809769;148,0374733;309,0330312;103,3597343;0,330446402;0,332679426;0,201208954;0,206051839;0,1669272;0,166524973;0,119923686;0,119668617;0,065540454;0,057819331;0,004234149;0,002349388
Ori Non Strict 3;102,1601398;54,61439759;467,4847631;134,5011326;273,2911606;117,5625703;0,307437302;0,278457166;0,195393431;0,194765861;0,163366872;0,160652855;0,118722867;0,109710677;0,062223024;0,050259187;0,004056363;0,002233644
Ori Non Strict 4;47,61178391;25,82776687;685,0318547;199,3028759;349,4243669;117,4919095;0,331682067;0,330909983;0,199501561;0,207318021;0,166068448;0,169488491;0,117007716;0,112561421;0,060625313;0,045818127;0,004232245;0,00177305
Ori Non Strict 5;78,48651452;39,92004774;462,174758;168,8467292;258,9303256;119,0166836;0,326167786;0,337831805;0,201271564;0,21256516;0,166338163;0,172830529;0,116574545;0,109464138;0,059322709;0,043638523;0,003756177;0,001545301
Ori Non Strict 6;77,6871787;42,78851595;469,8702419;158,0585492;262,1885777;118,1142031;0,312231054;0,313278479;0,189102234;0,194772765;0,154848929;0,150479233;0,108469792;0,095726339;0,056526064;0,044106618;0,003859519;0,001907508
Ori Non Strict 7;44,42523042;28,71008168;568,4138627;195,6310211;292,3986713;118,5767524;0,319902489;0,331743278;0,202912752;0,219128623;0,171386258;0,183439027;0,125490131;0,121266878;0,067085623;0,056689293;0,00474978;0,002234061
Ori Non Strict 8;91,56707856;40,74881755;459,3520906;120,3008995;264,1288997;110,5846485;0,341367348;0,3498318;0,208195084;0,215867788;0,179548008;0,181983357;0,135052382;0,12544803;0,074007835;0,057862187;0,004964673;0,002522036
Ori Non Strict 9;50,44759229;32,46571309;594,0747438;184,5634971;307,6073243;118,7853324;0,322187355;0,325964213;0,193174905;0,203646007;0,159120335;0,162708054;0,11426843;0,109562384;0,060324999;0,048114173;0,004378691;0,001922277
Ori Non Strict 10;38,98313925;24,17859235;762,7426403;221,7309062;382,0485713;128,0380162;0,322908705;0,320953517;0,188165581;0,194935372;0,157000695;0,157751546;0,115469738;0,113865549;0,062018375;0,054522051;0,004048517;0,002301335
Ori Non Strict 11;87,53505226;48,12238011;499,8477741;172,7848623;281,3618347;125,7096327;0,292720075;0,272895607;0,186896283;0,192075653;0,156068877;0,155659027;0,115109946;0,106604438;0,062846483;0,047245836;0,0043128;0,002015521
Ori Non Strict 12;61,37096582;33,7293093;511,5787903;159,8130068;273,8559345;111,7229099;0,321631844;0,332909937;0,199138102;0,21434384;0,165494341;0,172667301;0,120648888;0,113240491;0,065463783;0,051612811;0,004493892;0,002517131
Ori Non Strict 13;71,97974228;38,35375194;446,0867578;135,4408113;248,0297767;109,1087189;0,344132212;0,357004764;0,215592755;0,230650114;0,181803007;0,188272178;0,13303192;0,130539486;0,071779283;0,061612973;0,005094922;0,002712171
Ori Non Strict 14;43,20078911;27,46596243;661,6335329;242,8431358;336,0968672;138,8819541;0,30295062;0,305113256;0,175623345;0,174008451;0,1399365;0,132061573;0,096389218;0,081548857;0,049901035;0,036233431;0,003405057;0,001631705
Ori Non Strict 15;135,9139048;49,21754239;463,4991864;140,4078412;288,2735657;124,5245197;0,281502683;0,264555354;0,174965434;0,179871089;0,144188223;0,146234859;0,10498486;0,097501636;0,056656598;0,042750705;0,00350503;0,0018295
avg;73,02591692;37,82994342;535,1979033;165,9712783;290,9103618;118,0274631;0,318644628;0,317828905;0,196331384;0,204531444;0,163696822;0,165888034;0,118535798;0,112085734;0,063114891;0,050800476;0,004244814;0,002133456
Ori Spur Removal Non Strict 1;1153,983765;212,3040141;99,46176841;12,82869802;588,1112185;136,8168;0,259204126;0,199629306;0,20583579;0,200187705;0,183169629;0,166555258;0,143364942;0,124546325;0,083769081;0,050749215;0,020315741;0,001662584
Ori Spur Removal Non Strict 2;904,5411214;123,6119394;173,6354229;36,24199902;528,1719635;110,4533915;0,259987971;0,248451103;0,191873483;0,196048905;0,161602562;0,157720311;0,118073857;0,108210179;0,065886799;0,051575558;0,006753508;0,001509016
Ori Spur Removal Non Strict 3;534,302612;230,0420415;131,2550132;13,84193555;308,1690845;144,9984419;0,226719211;0,162263454;0,1829927;0,167254111;0,15732567;0,139726477;0,119784463;0,093161784;0,070317294;0,038243208;0,019524506;0,00127511
Ori Spur Removal Non Strict 4;214,2376648;90,54146046;243,6764927;55,05201146;220,6611902;107,3849236;0,277513524;0,254036197;0,200668945;0,206833723;0,169810819;0,166448712;0,122349638;0,112814926;0,065541897;0,046399492;0,009570213;0,001478584
Ori Spur Removal Non Strict 5;1530,787416;147,7503404;138,8910493;26,78440574;787,5306807;123,9070422;0,25534007;0,224855184;0,18918514;0,197740161;0,157822878;0,156736107;0,111497169;0,095280823;0,058596289;0,032104294;0,0098105;0,000826277
Ori Spur Removal Non Strict 6;510,7181384;164,3597183;132,3785116;25,95983937;308,7495831;131,6381798;0,253874213;0,21407636;0,187672901;0,182697111;0,156888793;0,141316095;0,11257019;0,089714869;0,062357684;0,033483392;0,011638856;0,001207774
Ori Spur Removal Non Strict 7;182,5242983;96,04539547;224,4696358;56,91049919;197,2299522;118,4343137;0,269830884;0,256228458;0,201828574;0,214095316;0,173267629;0,180923014;0,128027178;0,121410085;0,069500337;0,049562254;0,007383497;0,001621977
Ori Spur Removal Non Strict 8;3737,93775;158,2610331;109,8058251;16,37363324;1821,484904;117,3513816;0,264216158;0,231237572;0,199105112;0,205311995;0,176770898;0,168553334;0,136601927;0,118878952;0,078629079;0,052549979;0,01283943;0,001604381
Ori Spur Removal Non Strict 9;247,8625342;118,9986623;220,9060284;54,90359117;228,1090575;134,621884;0,246611155;0,207079346;0,18178106;0,188604979;0,151100681;0,153092048;0,108796776;0,09889474;0,057329523;0,038397643;0,004280924;0,001259025
Ori Spur Removal Non Strict 10;209,1141807;100,5206194;265,7111104;56,0871647;230,7190287;120,7770855;0,274784501;0,247426259;0,18928029;0,195329167;0,161855563;0,163286455;0,12212115;0,119602849;0,06577604;0,053404314;0,004208951;0,001724117
Ori Spur Removal Non Strict 11;4384,463866;209,8747646;128,8929734;24,28027873;2110,27324;138,9020842;0,232488841;0,171948393;0,181083961;0,171511092;0,157053759;0,139277333;0,12130418;0,089680077;0,074159783;0,030906433;0,020013699;0,000973733
Ori Spur Removal Non Strict 12;299,6323904;132,3944688;197,5388613;32,52539941;241,5156964;130,2803825;0,254344501;0,22222349;0,192155058;0,202213986;0,161959137;0,160166849;0,12015516;0,108761514;0,066001236;0,043642197;0,006922584;0,001731352
Ori Spur Removal Non Strict 13;1512,116526;163,5438828;111,2951505;17,13958056;766,621295;112,9167963;0,273231559;0,235855132;0,217495328;0,217085802;0,188557227;0,181122375;0,142555129;0,118071995;0,083449885;0,052464798;0,019686819;0,00178896
Ori Spur Removal Non Strict 14;169,0674073;89,92929581;301,2293995;90,49785895;227,6053666;125,3207358;0,268451872;0,243081857;0,178045002;0,17552726;0,14326247;0,136255654;0,098798288;0,087433795;0,051780763;0,034234777;0,004754;0,001258655
Ori Spur Removal Non Strict 15;2938,503617;172,5706625;141,610288;20,29961872;1375,925701;135,1878841;0,212845893;0,137920203;0,161827957;0,160788551;0,136843906;0,119949905;0,104488394;0,0749302;0,062083832;0,024907041;0,016319584;0,000607034
avg;1235,319552;147,3832199;174,7171687;35,98176759;662,7251974;125,9327551;0,255296299;0,217087488;0,190722087;0,192081991;0,162486108;0,155408662;0,120699229;0,104092874;0,067678635;0,042174973;0,011601521;0,001368572
Ori Spur Removal Strict 1;1309,661534;517,4916726;19,22858582;2,499515453;484,1105709;132,4007736;0,183587601;0,078615338;0,188387804;0,155147855;0,174835864;0,138011045;0,148187004;0,091940401;0,099863089;0,032127805;0,04104329;0,000698091
Ori Spur Removal Strict 2;957,6752783;534,5503853;36,17276903;4,116363521;409,840987;186,3463408;0,167576037;0,083820324;0,177500994;0,156247087;0,162479906;0,130983773;0,134726182;0,092045818;0,089702211;0,040943986;0,031323672;0
Ori Spur Removal Strict 3;1456,577499;638,7033416;30,33093833;2,603275628;522,2773272;123,3694836;0,166431089;0,069254811;0,172012653;0,132199511;0,158457332;0,110968008;0,133740789;0,07992042;0,091873579;0,023502503;0,044710299;0
Ori Spur Removal Strict 4;891,2537641;461,9463648;47,1618427;4,31167021;403,8742069;196,9289085;0,175715129;0,090048663;0,185210007;0,166313858;0,168882455;0,141474695;0,136245356;0,097781356;0,085585341;0,03927365;0,032011813;0,000645787
Ori Spur Removal Strict 5;975,9816365;438,3808604;30,54189332;3,937968908;397,7530359;141,0691677;0,179988099;0,090258845;0,179393434;0,156876463;0,163459841;0,127036154;0,132920862;0,088279978;0,085404512;0,027816465;0,033120272;0
Ori Spur Removal Strict 6;1369,36494;508,004692;35,28338289;3,868482166;578,2109932;188,7568465;0,179808395;0,101132166;0,1796624;0,154251724;0,164249799;0,134475273;0,134947678;0,096293278;0,088531293;0,042085;0,032225027;0,001066143
Ori Spur Removal Strict 7;936,2396246;505,9673325;52,00244474;4,050348587;438,5364095;233,7647925;0,165565595;0,098003446;0,179472771;0,164450339;0,164505909;0,141519666;0,137866587;0,10181496;0,090274043;0,041516617;0,024935184;0,000984252
Ori Spur Removal Strict 8;930,292069;485,2503012;27,41500294;2,709920836;352,8979673;107,6575251;0,174666956;0,092976833;0,17932555;0,151543561;0,169141909;0,136597747;0,145951782;0,104348142;0,099247194;0,043326497;0,035168337;0,000722812
Ori Spur Removal Strict 9;933,9616054;494,7855215;60,14367587;5,267841698;433,9276307;210,3516564;0,163630199;0,076335154;0,170362242;0,146283638;0,154351838;0,122352641;0,124448039;0,079185141;0,077650735;0,032281222;0,02414772;0
Ori Spur Removal Strict 10;900,3916673;473,5652722;60,38604931;4,436969372;426,076358;213,160508;0,168530619;0,079054087;0,172353471;0,148408523;0,156183941;0,13032479;0,129084514;0,09740431;0,081328287;0,042580985;0,020661017;0,001016135
Ori Spur Removal Strict 11;1094,543711;577,510717;25,41768769;2,598823282;376,9297779;91,18744073;0,159169368;0,049456742;0,160175496;0,106146462;0,149337955;0,082276763;0,127520337;0,048153212;0,088617593;0,013749062;0,036870066;0
Ori Spur Removal Strict 12;912,2616683;519,8555802;50,32930427;3,690530442;408,89762;221,6765185;0,173007212;0,082547443;0,183706013;0,160682428;0,168872021;0,137091904;0,142102899;0,091312179;0,096731501;0,041052839;0,033705697;0,000854355
Ori Spur Removal Strict 13;871,5557794;491,3893057;24,4785846;3,352428611;354,4474271;165,5171294;0,178350033;0,096278541;0,188289688;0,159780019;0,173834872;0,142782818;0,141285925;0,105603142;0,093385006;0,041931121;0,032593108;0,000873962
Ori Spur Removal Strict 14;1445,734329;460,948457;57,22126573;5,579554386;665,2499255;220,3208858;0,171140672;0,090623098;0,171186292;0,150341053;0,149482813;0,119394265;0,116893095;0,080761821;0,071388593;0,034047625;0,023794206;0,000790832
Ori Spur Removal Strict 15;4033,318535;518,5882927;35,3947397;3,07317209;1337,0639;84,57493845;0,151260339;0,040006871;0,151499821;0,09683307;0,136393951;0,070009173;0,11533584;0,034191456;0,083698247;0;0,039429785;0
avg;1267,920909;508,4625398;39,4338778;3,739791013;506,0062758;167,8055277;0,170561823;0,081227491;0,175902576;0,147033706;0,160964694;0,124353248;0,133417126;0,085935708;0,088218748;0,033082359;0,032382633;0,000510158
Ori Strict 1;460,75;188,2665286;122,591976;15,71745089;288,6470526;133,6665089;0,283296721;0,230184564;0,222702948;0,236295531;0,19797059;0,198711895;0,155864802;0,140571762;0,088324669;0,063989337;0,006502196;0,002672727
Ori Strict 2;267,5927216;131,5469168;164,8048125;23,36085902;211,7767914;116,5661164;0,283857073;0,249766855;0,218700551;0,230115494;0,193060779;0,197886359;0,150118466;0,143722815;0,08670553;0,072010952;0,005898028;0,002566326
Ori Strict 3;474,166102;200,8436835;156,2520279;20,24314163;311,3548483;143,9555347;0,260249826;0,212019156;0,203426246;0,214631581;0,178668281;0,181680989;0,137570718;0,125294516;0,075984746;0,057490397;0,005230869;0,002345767
Ori Strict 4;239,7487028;117,1744647;197,9694035;25,42069343;213,9758079;123,1033477;0,285232328;0,265963405;0,219993023;0,240871844;0,194055969;0,204728916;0,144446282;0,1404812;0,077046699;0,065356021;0,005436042;0,002494803
Ori Strict 5;329,8321518;142,7473419;157,2718938;27,80820734;239,6726494;126,3273796;0,293731875;0,269252665;0,215586839;0,234581494;0,188797757;0,19555451;0,143936835;0,131744457;0,077749976;0,060587587;0,005256574;0,00174115
Ori Strict 6;311,4161435;154,9582055;177,4264827;28,39227705;240,0447932;130,2705519;0,285118917;0,26856634;0,207518835;0,211865802;0,181336213;0,181154589;0,13876076;0,135975377;0,076735417;0,061980832;0,00535335;0,002302053
Ori Strict 7;245,3521627;135,4031127;187,6919557;25,30753683;211,8923243;122,9509723;0,283174005;0,273273515;0,223728966;0,246005665;0,198757549;0,211652831;0,158721109;0,16172516;0,093805545;0,078188885;0,00638448;0,002862936
Ori Strict 8;398,0438569;144,7983418;150,7260381;21,35658244;270,1363134;118,4878358;0,299279149;0,261217473;0,223710122;0,229303817;0,200690551;0,200161519;0,160717109;0,150696391;0,094967166;0,079562765;0,00761107;0,003188808
Ori Strict 9;237,5422118;136,6637743;209,3739144;34,61625863;218,2935065;128,316504;0,278763824;0,259739198;0,209339001;0,221119223;0,184220918;0,188311049;0,142229292;0,135163965;0,077816343;0,065620691;0,005369524;0,002506535
Ori Strict 10;224,8873128;113,8645823;235,6953942;30,86476227;224,4775338;111,8648007;0,280492884;0,244036031;0,215310749;0,228851441;0,188392503;0,196329814;0,148200687;0,146265949;0,084881277;0,072005543;0,005915525;0,003162513
Ori Strict 11;472,184013;174,9054705;159,862572;27,26922356;311,4504371;141,1785757;0,246217771;0,188417197;0,191452544;0,198345385;0,169740699;0,159114261;0,132972955;0,10581625;0,075785796;0,044514402;0,006226267;0,001719722
Ori Strict 12;226,4722583;114,6425308;186,3228489;29,84346634;201,80159;116,8150264;0,27588573;0,24470251;0,217050153;0,239840544;0,191939492;0,202857215;0,151756194;0,143393764;0,08900329;0,071103244;0,006087404;0,003075987
Ori Strict 13;438,5725868;136,6049358;123,4494326;23,1054464;277,3811603;107,4396748;0,294452847;0,267061635;0,229812194;0,250332123;0,204262909;0,211641116;0,158129406;0,149309265;0,088517878;0,072837621;0,006012447;0,003068158
Ori Strict 14;214,3248724;129,5740031;200,9025601;40,44215472;202,6581198;117,0235459;0,276045009;0,23953663;0,20495828;0,218658098;0,173580807;0,172371338;0,129220934;0,117301967;0,069460224;0,052429603;0,004835762;0,002219148
Ori Strict 15;614,753931;174,2188505;185,1422821;34,99932034;395,3812636;148,167034;0,233886901;0,169130095;0,175700692;0,183275265;0,151304108;0,14752732;0,11624074;0,095232158;0,068884067;0,042659911;0,004812463;0,001569874
avg;343,7092685;146,4141829;174,365573;27,24982539;254,5962794;125,7422272;0,277312324;0,242857818;0,211932743;0,22560622;0,186451942;0,189978915;0,144592419;0,134846333;0,081711242;0,064022519;0,005795467;0,002499767